POSTCODE,Consumption (kWh)
BR2 0QE,146561.1
BR2 0QF,84148.1
BR2 0QL,76065.4
BR2 0QN,103414.1
BR2 0QP,118907.6
BR2 0QR,74698.2
BR2 0QS,87446.2
BR2 0QT,109095.8
BR2 0QU,49784.5
BR2 0QW,155137.5
BR2 0QX,37992.6
BR2 0RA,99735.4
BR2 0RD,26490.0
BR2 0RJ,15324.2
BR2 0RL,169091.2
BR2 0RP,35321.5
BR2 0RT,120707.7
BR2 0RU,145300.6
BR2 0RW,190349.4
BR2 0RX,129127.7
BR2 0RY,59210.0
BR2 0RZ,29501.2
BR2 0SA,151036.5
